model,seeded_label,tool,runner_detection,elapsed_s,evidence_excerpt,log
M1,certificate/transcript binding,ProVerif,EXPLICIT_FAULT_DETECTED,0.0358,"-- Query not attacker(compromised_secret[]) in process 0. | RESULT not attacker(compromised_secret[]) is false. | -- Query event(accept(a,b)) ==> event(expectedRun(a,b)) in process 0. | RESULT event(accept(a,b)) ==> event(expectedRun(a,b)) is false. | Query not attacker(compromised_secret[]) is false. | Query event(accept(a,b)) ==> event(expectedRun(a,b)) is false.",results_ablation/proverif_M1_certificate_based_ECDHE_remove_module.txt
M1,certificate/transcript binding,Tamarin,EXPLICIT_FAULT_DETECTED,0.2952,lemma secrecy_after_ablation: | lemma agreement_after_ablation: | summary of summaries: | secrecy_after_ablation (all-traces): falsified - found trace (3 steps) | agreement_after_ablation (all-traces): falsified - found trace (2 steps),results_ablation/tamarin_M1_certificate_based_ECDHE_remove_module.txt
M1,certificate/transcript binding,Scyther,EXPLICIT_FAULT_DETECTED,0.0139,"claim	M1certificatebasedECDHERemoveModule,A	Secret_A1	H(na,nb)	[31mFail[0m	[exactly 1 attack] | claim	M1certificatebasedECDHERemoveModule,A	Niagree_A2	-	[31mFail[0m	[exactly 1 attack] | claim	M1certificatebasedECDHERemoveModule,A	Nisynch_A3	-	[31mFail[0m	[exactly 1 attack] | claim	M1certificatebasedECDHERemoveModule,B	Secret_B1	H(na,nb)	[31mFail[0m	[exactly 1 attack] | claim	M1certificatebasedECDHERemoveModule,B	Niagree_B2	-	[31mFail[0m	[exactly 1 attack] | claim	M1certificatebasedECDHERemoveModule,B	Nisynch_B3	-	[31mFail[0m	[exactly 1 attack]",results_ablation/scyther_M1_certificate_based_ECDHE_remove_module.txt
M2,consortium-ledger trust anchor,ProVerif,EXPLICIT_FAULT_DETECTED,0.0083,"-- Query not attacker(compromised_secret[]) in process 0. | RESULT not attacker(compromised_secret[]) is false. | -- Query event(accept(a,b)) ==> event(expectedRun(a,b)) in process 0. | RESULT event(accept(a,b)) ==> event(expectedRun(a,b)) is false. | Query not attacker(compromised_secret[]) is false. | Query event(accept(a,b)) ==> event(expectedRun(a,b)) is false.",results_ablation/proverif_M2_IBS_blockchain_remove_module.txt
M2,consortium-ledger trust anchor,Tamarin,EXPLICIT_FAULT_DETECTED,0.1438,lemma secrecy_after_ablation: | lemma agreement_after_ablation: | summary of summaries: | secrecy_after_ablation (all-traces): falsified - found trace (3 steps) | agreement_after_ablation (all-traces): falsified - found trace (2 steps),results_ablation/tamarin_M2_IBS_blockchain_remove_module.txt
M2,consortium-ledger trust anchor,Scyther,EXPLICIT_FAULT_DETECTED,0.0090,"claim	M2IBSblockchainRemoveModule,A	Secret_A1	H(na,nb)	[31mFail[0m	[exactly 1 attack] | claim	M2IBSblockchainRemoveModule,A	Niagree_A2	-	[31mFail[0m	[exactly 1 attack] | claim	M2IBSblockchainRemoveModule,A	Nisynch_A3	-	[31mFail[0m	[exactly 1 attack] | claim	M2IBSblockchainRemoveModule,B	Secret_B1	H(na,nb)	[31mFail[0m	[exactly 1 attack] | claim	M2IBSblockchainRemoveModule,B	Niagree_B2	-	[31mFail[0m	[exactly 1 attack] | claim	M2IBSblockchainRemoveModule,B	Nisynch_B3	-	[31mFail[0m	[exactly 1 attack]",results_ablation/scyther_M2_IBS_blockchain_remove_module.txt
M3,KGC partial-key binding,ProVerif,EXPLICIT_FAULT_DETECTED,0.0137,"-- Query not attacker(compromised_secret[]) in process 0. | RESULT not attacker(compromised_secret[]) is false. | -- Query event(accept(a,b)) ==> event(expectedRun(a,b)) in process 0. | RESULT event(accept(a,b)) ==> event(expectedRun(a,b)) is false. | Query not attacker(compromised_secret[]) is false. | Query event(accept(a,b)) ==> event(expectedRun(a,b)) is false.",results_ablation/proverif_M3_certificateless_AKA_remove_module.txt
M3,KGC partial-key binding,Tamarin,EXPLICIT_FAULT_DETECTED,0.1529,lemma secrecy_after_ablation: | lemma agreement_after_ablation: | summary of summaries: | secrecy_after_ablation (all-traces): falsified - found trace (3 steps) | agreement_after_ablation (all-traces): falsified - found trace (2 steps),results_ablation/tamarin_M3_certificateless_AKA_remove_module.txt
M3,KGC partial-key binding,Scyther,EXPLICIT_FAULT_DETECTED,0.0059,"claim	M3certificatelessAKARemoveModule,A	Secret_A1	H(na,nb)	[31mFail[0m	[exactly 1 attack] | claim	M3certificatelessAKARemoveModule,A	Niagree_A2	-	[31mFail[0m	[exactly 1 attack] | claim	M3certificatelessAKARemoveModule,A	Nisynch_A3	-	[31mFail[0m	[exactly 1 attack] | claim	M3certificatelessAKARemoveModule,B	Secret_B1	H(na,nb)	[31mFail[0m	[exactly 1 attack] | claim	M3certificatelessAKARemoveModule,B	Niagree_B2	-	[31mFail[0m	[exactly 1 attack] | claim	M3certificatelessAKARemoveModule,B	Nisynch_B3	-	[31mFail[0m	[exactly 1 attack]",results_ablation/scyther_M3_certificateless_AKA_remove_module.txt
M4,pseudonym ledger / sealed identity,ProVerif,EXPLICIT_FAULT_DETECTED,0.0087,"-- Query not attacker(compromised_secret[]) in process 0. | RESULT not attacker(compromised_secret[]) is false. | -- Query event(accept(a,b)) ==> event(expectedRun(a,b)) in process 0. | RESULT event(accept(a,b)) ==> event(expectedRun(a,b)) is false. | Query not attacker(compromised_secret[]) is false. | Query event(accept(a,b)) ==> event(expectedRun(a,b)) is false.",results_ablation/proverif_M4_blockchain_pseudonym_remove_module.txt
