model,tool,file,status,properties,limitations
M1,ProVerif,M1_certificate_based_ECDHE.pv,PARTIAL_QUERY_SPECIFIC,completion/secrecy/responder agreement PASS; initiator agreement TIMEOUT 120 s,No cross-tool or algorithm-level inference; see MODEL_SCOPE_AND_CORRECTION_NOTICE.md and S3_MODEL_VALIDITY_STATUS.csv. Dolev-Yao abstraction
M1,Tamarin,tamarin_models/M1_certificate_based_ECDHE.spthy,ILLUSTRATIVE_EXECUTION,tool-local encoded query labels only,No cross-tool or algorithm-level inference; see MODEL_SCOPE_AND_CORRECTION_NOTICE.md and S3_MODEL_VALIDITY_STATUS.csv. idealized authenticated transcript
M1,AVISPA,avispa_models/M1_certificate_based_ECDHE.hlpsl,NOT_EXECUTED,source port only; no local backend result,No cross-tool or algorithm-level inference; see MODEL_SCOPE_AND_CORRECTION_NOTICE.md and S3_MODEL_VALIDITY_STATUS.csv. ECDHE reduced to nonce/hash skeleton; no local AVISPA backend result counted
M1,Scyther,scyther_models/M1_certificate_based_ECDHE.spdl,ILLUSTRATIVE_EXECUTION,tool-local encoded query labels only,No cross-tool or algorithm-level inference; see MODEL_SCOPE_AND_CORRECTION_NOTICE.md and S3_MODEL_VALIDITY_STATUS.csv. ECDHE reduced to protected nonce/hash skeleton
M2,ProVerif,M2_IBS_blockchain.pv,ILLUSTRATIVE_EXECUTION,tool-local encoded query labels only,No cross-tool or algorithm-level inference; see MODEL_SCOPE_AND_CORRECTION_NOTICE.md and S3_MODEL_VALIDITY_STATUS.csv. ledger is authenticated state
M2,Tamarin,tamarin_models/M2_IBS_blockchain.spthy,ILLUSTRATIVE_EXECUTION,tool-local encoded query labels only,No cross-tool or algorithm-level inference; see MODEL_SCOPE_AND_CORRECTION_NOTICE.md and S3_MODEL_VALIDITY_STATUS.csv. no BFT or smart-contract model
M2,AVISPA,avispa_models/M2_IBS_blockchain.hlpsl,NOT_EXECUTED,source port only; no local backend result,No cross-tool or algorithm-level inference; see MODEL_SCOPE_AND_CORRECTION_NOTICE.md and S3_MODEL_VALIDITY_STATUS.csv. ledger reduced to hash commitments; no local AVISPA backend result counted
M2,Scyther,scyther_models/M2_IBS_blockchain.spdl,ILLUSTRATIVE_EXECUTION,tool-local encoded query labels only,No cross-tool or algorithm-level inference; see MODEL_SCOPE_AND_CORRECTION_NOTICE.md and S3_MODEL_VALIDITY_STATUS.csv. ledger reduced to hash commitments
M3,ProVerif,M3_certificateless_AKA.pv,ILLUSTRATIVE_EXECUTION,tool-local encoded query labels only,No cross-tool or algorithm-level inference; see MODEL_SCOPE_AND_CORRECTION_NOTICE.md and S3_MODEL_VALIDITY_STATUS.csv. no full eCK/RoR proof
M3,Tamarin,tamarin_models/M3_certificateless_AKA.spthy,ILLUSTRATIVE_EXECUTION,tool-local encoded query labels only,No cross-tool or algorithm-level inference; see MODEL_SCOPE_AND_CORRECTION_NOTICE.md and S3_MODEL_VALIDITY_STATUS.csv. KGC leak abstracted
