paper_id,ref_number,title,mechanism_family,verification_level,security_properties_coded,reported_research_tools,evidence_types,gap_flags,uncertain_reason,published_protocol_reverification_use,quality_score
P224,29,Toward Cross-Domain Dynamic Accumulator Authentication Based on Blockchain in Internet of Things,Other/classical-general,D,yes,informal_security_analysis; formal_proof; performance_comparison; simulation; blockchain_platform,formal proof; informal security analysis; performance comparison; prototype/simulation; blockchain platform,privacy-accountability tradeoff; policy/authorization binding; scalability and throughput; formal model gap,,not selected,not assigned; evidence appraisal is descriptive
P140,30,A distributed identity management and cross-domain authentication scheme for the Internet of Things,Ledger-mediated trust,C,yes,BAN_logic; informal_security_analysis; formal_proof; performance_comparison; simulation; blockchain_platform; Hyperledger,BAN logic; formal proof; informal security analysis; performance comparison; prototype/simulation; blockchain platform,dynamic revocation and membership; privacy-accountability tradeoff; storage/on-chain overhead; centralized trust or key escrow; formal model gap,missing_abstract,not selected,not assigned; evidence appraisal is descriptive
P216,31,PQ-BCDA A post-quantum blockchain based cross-domain authentication scheme for Internet of Things,Post-quantum,B,yes,RoR_random_oracle; informal_security_analysis; formal_proof; performance_comparison; simulation; blockchain_platform,RoR/random oracle; formal proof; informal security analysis; performance comparison; prototype/simulation; blockchain platform,privacy-accountability tradeoff; scalability and throughput; storage/on-chain overhead; resource-constrained deployment; centralized trust or key escrow; post-quantum migration; formal model gap,missing_abstract,not selected,not assigned; evidence appraisal is descriptive
P186,32,DCAGS-IoT Dynamic Cross-Domain Authentication Scheme Using Group Signature in IoT,Group-/ring-signature,E,no,no_clear_validation,,,missing_abstract; missing_method_excerpt; research_objective_weak; research_tools_weak,not selected,not assigned; evidence appraisal is descriptive
P130,33,A Blockchain-Based Cross-Domain Authentication Management System for IoT Devices,Ledger-mediated trust,D,yes,informal_security_analysis; formal_proof; performance_comparison; simulation; blockchain_platform; Ethereum_Ganache_Solidity,formal proof; informal security analysis; performance comparison; prototype/simulation; blockchain platform,privacy-accountability tradeoff; policy/authorization binding; scalability and throughput; storage/on-chain overhead; centralized trust or key escrow; formal model gap,,not selected,not assigned; evidence appraisal is descriptive
P134,34,A Certificate Authority Domain-based Cross-domain Authentication Scheme for Virtual Enterprise Using Identity Based Encryption,Other/classical-general,E,no,informal_security_analysis; simulation,informal security analysis; prototype/simulation,formal model gap,,not selected,not assigned; evidence appraisal is descriptive
P152,35,A Privacy-Aware Cross-Domain Device Authentication Scheme for IIoT Based on Blockchain,Certificateless split-key,B,yes,RoR_random_oracle; informal_security_analysis; formal_proof; performance_comparison; simulation; blockchain_platform,RoR/random oracle; formal proof; informal security analysis; performance comparison; prototype/simulation; blockchain platform,dynamic revocation and membership; privacy-accountability tradeoff; scalability and throughput; resource-constrained deployment; centralized trust or key escrow; formal model gap,,not selected,not assigned; evidence appraisal is descriptive
P156,36,A Trusted IoT Communication Architecture Based on Blockchain and Named Data Network,Ledger-mediated trust,E,no,simulation,prototype/simulation,privacy-accountability tradeoff; policy/authorization binding; scalability and throughput; storage/on-chain overhead; resource-constrained deployment; centralized trust or key escrow,,not selected,not assigned; evidence appraisal is descriptive
P202,37,Hybrid-Blockchain-Based Cross-Domain Authentication for Internet of Marine Things,Ledger-mediated trust,A,yes,RoR_random_oracle; AVISPA; informal_security_analysis; formal_proof; performance_comparison; simulation,RoR/random oracle; AVISPA; formal proof; informal security analysis; performance comparison; prototype/simulation,dynamic revocation and membership; privacy-accountability tradeoff; policy/authorization binding; scalability and throughput; resource-constrained deployment; centralized trust or key escrow; formal model gap,,not selected,not assigned; evidence appraisal is descriptive
P164,38,BCEDAS A Blockchain and Chameleon Hash-Based Efficient Decentralized Authentication Scheme for Internet of Vehicles With Multi-Scenario,Ledger-mediated trust,A,yes,RoR_random_oracle; ProVerif; informal_security_analysis; formal_proof; performance_comparison; simulation; blockchain_platform,RoR/random oracle; ProVerif; formal proof; informal security analysis; performance comparison; prototype/simulation; blockchain platform,dynamic revocation and membership; privacy-accountability tradeoff; policy/authorization binding; scalability and throughput; resource-constrained deployment; centralized trust or key escrow; formal model gap,,not selected,not assigned; evidence appraisal is descriptive
P176,39,Blockchain-Empowered Decentralized Horizontal Federated Learning for 5G-Enabled UAVs,Ledger-mediated trust,E,no,informal_security_analysis; performance_comparison; simulation; blockchain_platform,informal security analysis; performance comparison; prototype/simulation; blockchain platform,dynamic revocation and membership; privacy-accountability tradeoff; policy/authorization binding; storage/on-chain overhead; resource-constrained deployment; centralized trust or key escrow,,not selected,not assigned; evidence appraisal is descriptive
P173,40,Blockchain-Based Cross-Domain Authentication for Intelligent 5G-Enabled Internet of Drones,Ledger-mediated trust,E,yes,informal_security_analysis; performance_comparison; simulation; blockchain_platform,informal security analysis; performance comparison; prototype/simulation; blockchain platform,privacy-accountability tradeoff; policy/authorization binding; scalability and throughput; storage/on-chain overhead; resource-constrained deployment; centralized trust or key escrow,,not selected,not assigned; evidence appraisal is descriptive
P200,41,Federated Hierarchical Trust-Based Interaction Scheme for Cross-Domain Industrial IoT,Ledger-mediated trust,E,yes,simulation,prototype/simulation,privacy-accountability tradeoff; policy/authorization binding; storage/on-chain overhead; resource-constrained deployment; centralized trust or key escrow; formal model gap,,not selected,not assigned; evidence appraisal is descriptive
