paper_id,ref_number,title,doi,mechanism_family,deployment_crosscutting_facets,verification_level,properties,year,year_group,venue_tier,scope_status,mechanism_source,correction_reason
P224,29,Toward Cross-Domain Dynamic Accumulator Authentication Based on Blockchain in Internet of Things,10.1109/tii.2021.3116049,Other/classical-general,ledger-present; privacy/anonymity-layer,D,AN; Rev,2021,2021-2023,IEEE transaction / flagship journal,included_primary,carried from nine-class full-text coding,final venue-type normalization 20260720 (conference / proceedings->IEEE transaction / flagship journal)
P140,30,A distributed identity management and cross-domain authentication scheme for the Internet of Things,10.1016/j.future.2025.107818,Ledger-mediated trust,ledger-present,C,AN; Replay; Rev,2025,2024-2026,other journal,included_primary,carried from nine-class full-text coding,
P216,31,PQ-BCDA A post-quantum blockchain based cross-domain authentication scheme for Internet of Things,10.1016/j.iot.2025.101737,Post-quantum,ledger-present,B,MA; SK; AN; Replay; MITM; Imp; Rev,2025,2024-2026,other journal,included_primary,carried from nine-class full-text coding,final evidence reassessment 20260720 (E->B)
P186,32,DCAGS-IoT Dynamic Cross-Domain Authentication Scheme Using Group Signature in IoT,10.3390/app13105847,Group-/ring-signature,privacy/anonymity-layer; no-ledger,E,,2023,2021-2023,other journal,included_primary,carried from nine-class full-text coding,
P130,33,A Blockchain-Based Cross-Domain Authentication Management System for IoT Devices,10.1109/tnse.2023.3292624,Ledger-mediated trust,ledger-present,D,Imp; Rev,2023,2021-2023,IEEE transaction / flagship journal,included_primary,carried from nine-class full-text coding,final evidence reassessment 20260720 (E->D); final venue-type normalization 20260720 (conference / proceedings->IEEE transaction / flagship journal)
P134,34,A Certificate Authority Domain-based Cross-domain Authentication Scheme for Virtual Enterprise Using Identity Based Encryption,10.1109/bigcom53800.2021.00007,Other/classical-general,privacy/anonymity-layer; no-ledger,E,,2021,2021-2023,conference / proceedings,included_primary,carried from nine-class full-text coding,
P152,35,A Privacy-Aware Cross-Domain Device Authentication Scheme for IIoT Based on Blockchain,10.1109/hpcc-dss-smartcity-dependsys53884.2021.00097,Certificateless split-key,ledger-present; privacy/anonymity-layer,B,MA; SK; AN; UL; Replay; MITM; Imp; Rev,2021,2021-2023,conference / proceedings,included_primary,carried from nine-class full-text coding,
P156,36,A Trusted IoT Communication Architecture Based on Blockchain and Named Data Network,10.1088/1742-6596/2224/1/012091,Ledger-mediated trust,ledger-present,E,,2022,2021-2023,conference / proceedings,included_primary,carried from nine-class full-text coding,
P202,37,Hybrid-Blockchain-Based Cross-Domain Authentication for Internet of Marine Things,10.1016/j.csi.2026.104140,Ledger-mediated trust,ledger-present; multi-ledger; privacy/anonymity-layer,A,MA; SK; AN; Rev,2026,2024-2026,other journal,included_primary,full-text adjudication 20260712 (quote on file),
P164,38,BCEDAS A Blockchain and Chameleon Hash-Based Efficient Decentralized Authentication Scheme for Internet of Vehicles With Multi-Scenario,10.1109/tits.2026.3670901,Ledger-mediated trust,ledger-present,A,MA; SK; AN; UL; Replay; MITM; Imp; Rev,2026,2024-2026,IEEE transaction / flagship journal,included_primary,carried from nine-class full-text coding,final venue-type normalization 20260720 (conference / proceedings->IEEE transaction / flagship journal)
