case_id,protocol,source_scope,tool,model_file,log_file,property,result,interpretation
C2,CL-BASA Wang et al. 2022,"Section 5.2.2; Figures 3,5,6,7; Eq. (4)",ProVerif,published_protocol_models/clbasa_wang2022/clbasa_wang2022.pv,results_published_protocols/clbasa_wang2022_proverif.log,session payload secrecy after long-term key disclosure,PASS,ECDHE-derived key remains secret in the symbolic abstraction.
C2,CL-BASA Wang et al. 2022,"Section 5.2.2; Figures 3,5,6,7; Eq. (4)",ProVerif,published_protocol_models/clbasa_wang2022/clbasa_wang2022.pv,results_published_protocols/clbasa_wang2022_proverif.log,responder-side injective agreement on U token,ATTACK,"Non-injective origin holds, but injectivity fails because the printed flow does not specify a replay cache for Token_UV."
C2,CL-BASA Wang et al. 2022,"Section 5.2.2; Figures 3,5,6,7; Eq. (4)",ProVerif,published_protocol_models/clbasa_wang2022/clbasa_wang2022.pv,results_published_protocols/clbasa_wang2022_proverif.log,initiator-side agreement on V token,ATTACK,"The response token signs NV, domainB, PIDV, and Pk'_V, but not U's nonce/PID/ephemeral key; ProVerif finds a session-mixup trace."
C2,CL-BASA Wang et al. 2022,"Section 5.2.2; Figures 3,5,6,7; Eq. (4)",ProVerif,published_protocol_models/clbasa_wang2022/clbasa_wang2022.pv,results_published_protocols/clbasa_wang2022_proverif.log,BASB validation precedes V acceptance,PASS,V acceptance is linked to BASB's authenticated pseudonym/public-key lookup in the model.
C2-FIX,CL-BASA transcript-bound variant,Hardening experiment derived from C2 counterexample,ProVerif,published_protocol_models/clbasa_wang2022/clbasa_wang2022_transcript_bound_fix.pv,results_published_protocols/clbasa_wang2022_transcript_bound_fix_proverif.log,session payload secrecy,PASS,The minimal transcript-binding change preserves secrecy.
C2-FIX,CL-BASA transcript-bound variant,Hardening experiment derived from C2 counterexample,ProVerif,published_protocol_models/clbasa_wang2022/clbasa_wang2022_transcript_bound_fix.pv,results_published_protocols/clbasa_wang2022_transcript_bound_fix_proverif.log,initiator-side injective agreement,PASS,"Binding NU, PIDU, and Pk'_U inside Token_VU removes the ProVerif session-mixup trace."
C2-SCY,CL-BASA direct-auth projection,U/V token exchange after ideal BAS lookup,Scyther,published_protocol_models/clbasa_wang2022/clbasa_wang2022_direct_auth.spdl,results_published_protocols/clbasa_wang2022_direct_auth_scyther.log,strong synchronization,ATTACK,Scyther reports Weakagree/Niagree/Nisynch failures; this projection checks authentication only and does not model ECDHE secrecy.
C2-SCY-FIX,CL-BASA direct-auth transcript-bound projection,U/V token exchange after ideal BAS lookup,Scyther,published_protocol_models/clbasa_wang2022/clbasa_wang2022_direct_auth_fix.spdl,results_published_protocols/clbasa_wang2022_direct_auth_fix_scyther.log,strong role synchronization,ATTACK,"Even after transcript binding, Scyther's stronger role-synchronization claims fail because the tokens do not explicitly carry Scyther role identities; this is reported as a modeling-strength warning, not as the main DH result."
C1,CCAP Tong et al. 2022 IEEE TIFS,Section V-C.1; V-C.2 steps 8-15; Algorithm 2; Section V-C.3,ProVerif,published_protocol_models/ccap_tong2022/ccap_tong2022.pv,results_published_protocols/ccap_tong2022_proverif.log,real-identity non-derivability,PASS,The public Authenticate flow does not reveal the modeled real identity when tracing shares and NIZK internals remain private.
C1,CCAP Tong et al. 2022 IEEE TIFS,Section V-C.1; V-C.2 steps 8-15; Algorithm 2; Section V-C.3,ProVerif,published_protocol_models/ccap_tong2022/ccap_tong2022.pv,results_published_protocols/ccap_tong2022_proverif.log,ledger validation before PAS_B acceptance,PASS,PAS_B acceptance is linked to a prior pseudonym-ledger validation event in the symbolic abstraction.
C1,CCAP Tong et al. 2022 IEEE TIFS,Section V-C.3 printed Authenticate message,ProVerif,published_protocol_models/ccap_tong2022/ccap_tong2022.pv,results_published_protocols/ccap_tong2022_proverif.log,non-injective authentication,PASS,Every PAS_B acceptance has a preceding device Authenticate token.
C1,CCAP Tong et al. 2022 IEEE TIFS,Section V-C.3 printed Authenticate message,ProVerif,published_protocol_models/ccap_tong2022/ccap_tong2022.pv,results_published_protocols/ccap_tong2022_proverif.log,injective authentication,INCONCLUSIVE/ATTACK-LIKE,"ProVerif cannot prove injectivity and reports only non-injective correspondence, consistent with replay risk when no nonce/timestamp/replay cache is explicit."
C1-FIX,CCAP nonce/replay-cache variant,Hardening experiment derived from C1 replay boundary,ProVerif,published_protocol_models/ccap_tong2022/ccap_tong2022_replay_cache_fix.pv,results_published_protocols/ccap_tong2022_replay_cache_fix_proverif.log,injective authentication,INCONCLUSIVE,"The added nonce/cache abstraction still cannot be proved injective by ProVerif, likely because linear cache consumption is better handled by a trace-state tool such as Tamarin."
C3,BCAE Zhang et al. 2024 IEEE IoT-J,Algorithm 1; Algorithm 3; Algorithm 4,ProVerif,published_protocol_models/bcae_zhang2024/bcae_zhang2024.pv,results_published_protocols/bcae_zhang2024_proverif.log,session payload secrecy,PASS,Static-ECDH plus ephemeral-ECDH key material keeps the modeled payload secret.
C3,BCAE Zhang et al. 2024 IEEE IoT-J,Algorithm 4,ProVerif,published_protocol_models/bcae_zhang2024/bcae_zhang2024.pv,results_published_protocols/bcae_zhang2024_proverif.log,Ea acceptance implies Eb response,PASS,"If Ea accepts the encrypted response, a matching Eb response event exists for the modeled transcript."
C3,BCAE Zhang et al. 2024 IEEE IoT-J,Algorithm 1 and Algorithm 3,ProVerif,published_protocol_models/bcae_zhang2024/bcae_zhang2024.pv,results_published_protocols/bcae_zhang2024_proverif.log,Eb acceptance implies BCCA registration,PASS,Eb acceptance is linked to a BCCA-issued certificate for the static public key.
C3,BCAE Zhang et al. 2024 IEEE IoT-J,Algorithm 4 first message and missing final key confirmation,ProVerif,published_protocol_models/bcae_zhang2024/bcae_zhang2024.pv,results_published_protocols/bcae_zhang2024_proverif.log,Eb acceptance implies Ea start/final acceptance,ATTACK,"The certificate can authenticate Qa while the fresh ephemeral E7 and final key-confirmation state remain unbound in the symbolic event, so ProVerif finds responder-accept traces without Ea start/final accept."
