paper_id,ref_number,title,research_scenario,domains,core_technology,relevance_status,primary_family,deployment_crosscutting_facets
P224,29,Toward Cross-Domain Dynamic Accumulator Authentication Based on Blockchain in Internet of Things,IoT_general; smart_grid_energy,IoT; Smart grid/energy,blockchain_assisted; bilinear_pairing; dynamic_accumulator,include_primary,Other/classical-general,ledger-present; privacy/anonymity-layer
P140,30,A distributed identity management and cross-domain authentication scheme for the Internet of Things,IoT_general; IoV_VANET; edge_fog_cloud,IoT; IoV/VANET,blockchain_assisted; consortium_private_chain; smart_contract; PKI_CA; dynamic_accumulator,include_primary,Ledger-mediated trust,ledger-present
P216,31,PQ-BCDA A post-quantum blockchain based cross-domain authentication scheme for Internet of Things,IIoT; IoT_general; IoMT_healthcare; edge_fog_cloud,IIoT; IoT; Healthcare/IoMT,blockchain_assisted; consortium_private_chain; smart_contract; PKI_CA; ECC; hash_MAC; post_quantum_lattice,include_primary,Post-quantum,ledger-present
P186,32,DCAGS-IoT Dynamic Cross-Domain Authentication Scheme Using Group Signature in IoT,IoT_general,IoT,group_ring_signature,include_primary,Group-/ring-signature,privacy/anonymity-layer; no-ledger
P130,33,A Blockchain-Based Cross-Domain Authentication Management System for IoT Devices,IIoT; IoT_general,IIoT; IoT,blockchain_assisted; smart_contract; PKI_CA,include_primary,Ledger-mediated trust,ledger-present
P134,34,A Certificate Authority Domain-based Cross-domain Authentication Scheme for Virtual Enterprise Using Identity Based Encryption,UAV_FANET_IoD; smart_city,UAV/FANET/IoD; Smart city,PKI_CA; ECC; bilinear_pairing; hash_MAC; identity_based_cryptography,include_primary,Other/classical-general,privacy/anonymity-layer; no-ledger
P152,35,A Privacy-Aware Cross-Domain Device Authentication Scheme for IIoT Based on Blockchain,IIoT; IoT_general; IoV_VANET; UAV_FANET_IoD; smart_city; edge_fog_cloud,IIoT; IoT; IoV/VANET; UAV/FANET/IoD; Smart city,blockchain_assisted; certificateless_certificate_free; group_ring_signature; dynamic_accumulator,include_primary,Certificateless split-key,ledger-present; privacy/anonymity-layer
P156,36,A Trusted IoT Communication Architecture Based on Blockchain and Named Data Network,IoT_general; edge_fog_cloud; NDN,IoT; Edge/Fog/Cloud; NDN,blockchain_assisted; consortium_private_chain; PKI_CA; ECC,include_primary,Ledger-mediated trust,ledger-present
P202,37,Hybrid-Blockchain-Based Cross-Domain Authentication for Internet of Marine Things,IoT_general; IoMT_healthcare; smart_city; marine_IoM,IoT; Edge/Fog/Cloud; Healthcare/IoMT; Smart city; Marine/IoM,blockchain_assisted; consortium_private_chain; PKI_CA; ECC; hash_MAC,include_primary,Ledger-mediated trust,ledger-present; multi-ledger; privacy/anonymity-layer
P164,38,BCEDAS A Blockchain and Chameleon Hash-Based Efficient Decentralized Authentication Scheme for Internet of Vehicles With Multi-Scenario,IoV_VANET,IoV/VANET,blockchain_assisted; smart_contract; certificateless_certificate_free; ECC; bilinear_pairing; hash_MAC; PUF; zero_knowledge; chameleon_hash,include_primary,Ledger-mediated trust,ledger-present
P176,39,Blockchain-Empowered Decentralized Horizontal Federated Learning for 5G-Enabled UAVs,IIoT; IoT_general; IoV_VANET; UAV_FANET_IoD; IoMT_healthcare,IIoT; IoT; IoV/VANET; UAV/FANET/IoD; Healthcare/IoMT,blockchain_assisted; consortium_private_chain; smart_contract; federated_learning,include_primary,Ledger-mediated trust,ledger-present
P173,40,Blockchain-Based Cross-Domain Authentication for Intelligent 5G-Enabled Internet of Drones,IIoT; IoT_general; IoV_VANET; UAV_FANET_IoD; edge_fog_cloud,IIoT; IoT; IoV/VANET; UAV/FANET/IoD,blockchain_assisted; consortium_private_chain; smart_contract; PKI_CA; certificateless_certificate_free,include_primary,Ledger-mediated trust,ledger-present
P200,41,Federated Hierarchical Trust-Based Interaction Scheme for Cross-Domain Industrial IoT,IIoT; IoT_general; IoV_VANET; edge_fog_cloud,IIoT; IoT; IoV/VANET,blockchain_assisted; consortium_private_chain; smart_contract; multi_chain_cross_chain; PUF; zero_knowledge; federated_learning,include_primary,Ledger-mediated trust,ledger-present; multi-ledger
P113,42,Blockchain-Based Cross-Domain Authentication With Dynamic Domain Participation in IoT,IIoT; IoT_general; UAV_FANET_IoD; IoMT_healthcare; smart_city; edge_fog_cloud,IIoT; IoT; UAV/FANET/IoD; Healthcare/IoMT; Smart city,blockchain_assisted; consortium_private_chain; PKI_CA; bilinear_pairing,include_primary,Ledger-mediated trust,ledger-present; privacy/anonymity-layer
P159,43,An Efficient Consensus Algorithm for Blockchain-Based Cross-Domain Authentication in Bandwidth-Constrained Wide-Area IoT Networks,IoT_general; UAV_FANET_IoD,IoT; UAV/FANET/IoD; Edge/Fog/Cloud,blockchain_assisted; consortium_private_chain; multi_chain_cross_chain; PKI_CA; dynamic_accumulator; federated_learning,include_primary,Ledger-mediated trust,ledger-present; multi-ledger
P168,44,BLECA A Blockchain-Based Lightweight and Efficient Cross-Domain Authentication Scheme for Smart Parks,IoT_general; UAV_FANET_IoD; IoMT_healthcare; smart_city; edge_fog_cloud,IoT; UAV/FANET/IoD; Healthcare/IoMT; Smart city,blockchain_assisted; consortium_private_chain; smart_contract; PKI_CA,include_primary,Ledger-mediated trust,ledger-present
P201,45,Hybrid blockchain-based many-to-many cross-domain authentication scheme for smart agriculture IoT networks,IoT_general; edge_fog_cloud,IoT,blockchain_assisted; PKI_CA; certificateless_certificate_free; identity_based_cryptography,include_primary,Certificateless split-key,ledger-present; multi-ledger; privacy/anonymity-layer
P116,46,Bridge of Trust Cross Domain Authentication for Industrial Internet of Things (IIoT) Blockchain over Transport Layer Security (TLS),IIoT; IoT_general,IIoT; IoT,blockchain_assisted,include_primary,Ledger-mediated trust,ledger-present
P102,47,CCAP A Complete Cross-Domain Authentication Based on Blockchain for Internet of Things,IoT_general; IoV_VANET; IoMT_healthcare; smart_city; edge_fog_cloud,IoT; IoV/VANET; Healthcare/IoMT; Smart city,blockchain_assisted; consortium_private_chain; smart_contract; PKI_CA; certificateless_certificate_free; hash_MAC; group_ring_signature; zero_knowledge,include_primary,Ledger-mediated trust,ledger-present
P185,48,Cross-domain secure communication scheme in industrial internet of things based on consortium blockchain,IIoT; IoT_general,IIoT; IoT,blockchain_assisted; consortium_private_chain; smart_contract; PKI_CA; ECC,include_primary,Ledger-mediated trust,ledger-present
P193,49,Efficient and Anonymous Cross-Domain Authentication for IIoT Based on Blockchain,IIoT; IoT_general; IoV_VANET; IoMT_healthcare; smart_city,IIoT; IoT; IoV/VANET; Healthcare/IoMT; Smart city,blockchain_assisted; consortium_private_chain; smart_contract; PKI_CA; hash_MAC; dynamic_accumulator,include_primary,Ledger-mediated trust,ledger-present; privacy/anonymity-layer
P153,50,A Privacy-Preserving Cross-Domain Authentication and Key Agreement Scheme via Multiblockchains for Smart Cities,IIoT; IoT_general; IoV_VANET; IoMT_healthcare; smart_city,IIoT; IoT; IoV/VANET; Edge/Fog/Cloud; Healthcare/IoMT; Smart city,blockchain_assisted; consortium_private_chain; hierarchical_master_slave_chain; ECC,include_primary,Ledger-mediated trust,ledger-present; multi-ledger; privacy/anonymity-layer
P112,51,Authentication Technology in Internet of Things and Privacy Security Issues in Typical Application Scenarios,IIoT; IoT_general; IoV_VANET; smart_city,IIoT; IoT; IoV/VANET; Smart city,blockchain_assisted; federated_learning,include_primary,Ledger-mediated trust,ledger-present; privacy/anonymity-layer
P132,52,A Blockchain-Based Multi-CA Cross-Domain Authentication Scheme in Decentralized Autonomous Network,IoT_general; IoV_VANET; edge_fog_cloud,IoT; IoV/VANET; Edge/Fog/Cloud,blockchain_assisted; consortium_private_chain; smart_contract; PKI_CA; certificateless_certificate_free; ECC; dynamic_accumulator,include_primary,Ledger-mediated trust,ledger-present
P223,53,Secure Cross-Domain Authentication and Data Sharing Scheme for IIoT in Cloud-Fog Automation Architecture,IIoT; IoT_general; edge_fog_cloud,IIoT; IoT; Edge/Fog/Cloud,blockchain_assisted; consortium_private_chain; PKI_CA; certificateless_certificate_free; bilinear_pairing; zero_knowledge; dynamic_accumulator; proxy_re_signature,include_primary,Ledger-mediated trust,ledger-present; edge/fog-mediated; privacy/anonymity-layer
P191,54,Dynamic Time-Bound Anonymous Complete Cross-Domain Authentication Scheme for IoT,IIoT; IoT_general; smart_grid_energy; edge_fog_cloud,IIoT; IoT; Smart grid/energy,blockchain_assisted; consortium_private_chain; smart_contract; certificateless_certificate_free; ECC; zero_knowledge; dynamic_accumulator; proxy_re_signature,include_primary,Ledger-mediated trust,ledger-present; privacy/anonymity-layer
