model,tool,legacy_runner_label,mean_elapsed_s,std_elapsed_s,repeats,encoded_property_labels,authoritative_interpretation
M1,ProVerif,RUN_COMPLETED,0.0245,0.0019,10,secrecy; injective correspondence; identity non-derivability where encoded,runner timing only; authoritative query-specific status is PARTIAL
M2,ProVerif,RUN_COMPLETED,0.0251,0.0037,10,secrecy; injective correspondence; identity non-derivability where encoded,runner timing only; family artifact status is ILLUSTRATIVE
M3,ProVerif,RUN_COMPLETED,0.0377,0.0063,10,secrecy; injective correspondence; identity non-derivability where encoded,runner timing only; family artifact status is ILLUSTRATIVE
M4,ProVerif,RUN_COMPLETED,0.0268,0.0029,10,secrecy; injective correspondence; identity non-derivability where encoded,runner timing only; family artifact status is ILLUSTRATIVE
M5,ProVerif,RUN_COMPLETED,0.0106,0.0018,10,secrecy; injective correspondence; identity non-derivability where encoded,runner timing only; family artifact status is ILLUSTRATIVE
M6,ProVerif,RUN_COMPLETED,0.0133,0.0008,10,secrecy; injective correspondence; identity non-derivability where encoded,runner timing only; family artifact status is ILLUSTRATIVE
M1,Tamarin,RUN_COMPLETED,0.2374,0.0184,10,trace secrecy; agreement; explicit reveal/compromise lemmas where encoded,runner timing only; family artifact status is ILLUSTRATIVE
M2,Tamarin,RUN_COMPLETED,0.3094,0.0135,10,trace secrecy; agreement; explicit reveal/compromise lemmas where encoded,runner timing only; family artifact status is ILLUSTRATIVE
M3,Tamarin,RUN_COMPLETED,0.2744,0.0243,10,trace secrecy; agreement; explicit reveal/compromise lemmas where encoded,runner timing only; family artifact status is ILLUSTRATIVE
M4,Tamarin,RUN_COMPLETED,0.2290,0.0128,10,trace secrecy; agreement; explicit reveal/compromise lemmas where encoded,runner timing only; family artifact status is ILLUSTRATIVE
M5,Tamarin,RUN_COMPLETED,0.2400,0.0164,10,trace secrecy; agreement; explicit reveal/compromise lemmas where encoded,runner timing only; family artifact status is ILLUSTRATIVE
M6,Tamarin,RUN_COMPLETED,0.1921,0.0121,10,trace secrecy; agreement; explicit reveal/compromise lemmas where encoded,runner timing only; family artifact status is ILLUSTRATIVE
M1,Scyther,RUN_COMPLETED,0.0095,0.0019,10,Secret; Alive; Weakagree; Niagree; Nisynch,runner timing only; family artifact status is ILLUSTRATIVE
M2,Scyther,RUN_COMPLETED,0.0107,0.0011,10,Secret; Alive; Weakagree; Niagree; Nisynch,runner timing only; family artifact status is ILLUSTRATIVE
M3,Scyther,RUN_COMPLETED,0.0108,0.0029,10,Secret; Alive; Weakagree; Niagree; Nisynch,runner timing only; family artifact status is ILLUSTRATIVE
M4,Scyther,RUN_COMPLETED,0.0084,0.0012,10,Secret; Alive; Weakagree; Niagree; Nisynch,runner timing only; family artifact status is ILLUSTRATIVE
M5,Scyther,RUN_COMPLETED,0.0104,0.0026,10,Secret; Alive; Weakagree; Niagree; Nisynch,runner timing only; family artifact status is ILLUSTRATIVE
M6,Scyther,RUN_COMPLETED,0.0102,0.0022,10,Secret; Alive; Weakagree; Niagree; Nisynch,runner timing only; family artifact status is ILLUSTRATIVE
