log_id,model,seeded_label,tool,runner_detection,failure_signature,elapsed_s,full_log_file,full_log_path
S3-L01,M1,certificate/transcript binding,ProVerif,EXPLICIT_FAULT_DETECTED,secrecy breach; agreement failure,0.0395,proverif_M1_certificate_based_ECDHE_remove_module.txt,proverif_models/results_ablation/proverif_M1_certificate_based_ECDHE_remove_module.txt
S3-L02,M1,certificate/transcript binding,Tamarin,EXPLICIT_FAULT_DETECTED,secrecy lemma falsified; agreement lemma falsified,0.1977,tamarin_M1_certificate_based_ECDHE_remove_module.txt,proverif_models/results_ablation/tamarin_M1_certificate_based_ECDHE_remove_module.txt
S3-L03,M1,certificate/transcript binding,Scyther,EXPLICIT_FAULT_DETECTED,Secret claim fail; Niagree fail; Nisynch fail,0.0094,scyther_M1_certificate_based_ECDHE_remove_module.txt,proverif_models/results_ablation/scyther_M1_certificate_based_ECDHE_remove_module.txt
S3-L04,M2,consortium-ledger trust anchor,ProVerif,EXPLICIT_FAULT_DETECTED,secrecy breach; agreement failure,0.0107,proverif_M2_IBS_blockchain_remove_module.txt,proverif_models/results_ablation/proverif_M2_IBS_blockchain_remove_module.txt
S3-L05,M2,consortium-ledger trust anchor,Tamarin,EXPLICIT_FAULT_DETECTED,secrecy lemma falsified; agreement lemma falsified,0.1741,tamarin_M2_IBS_blockchain_remove_module.txt,proverif_models/results_ablation/tamarin_M2_IBS_blockchain_remove_module.txt
S3-L06,M2,consortium-ledger trust anchor,Scyther,EXPLICIT_FAULT_DETECTED,Secret claim fail; Niagree fail; Nisynch fail,0.0092,scyther_M2_IBS_blockchain_remove_module.txt,proverif_models/results_ablation/scyther_M2_IBS_blockchain_remove_module.txt
S3-L07,M3,KGC partial-key binding,ProVerif,EXPLICIT_FAULT_DETECTED,secrecy breach; agreement failure,0.0113,proverif_M3_certificateless_AKA_remove_module.txt,proverif_models/results_ablation/proverif_M3_certificateless_AKA_remove_module.txt
S3-L08,M3,KGC partial-key binding,Tamarin,EXPLICIT_FAULT_DETECTED,secrecy lemma falsified; agreement lemma falsified,0.1330,tamarin_M3_certificateless_AKA_remove_module.txt,proverif_models/results_ablation/tamarin_M3_certificateless_AKA_remove_module.txt
S3-L09,M3,KGC partial-key binding,Scyther,EXPLICIT_FAULT_DETECTED,Secret claim fail; Niagree fail; Nisynch fail,0.0066,scyther_M3_certificateless_AKA_remove_module.txt,proverif_models/results_ablation/scyther_M3_certificateless_AKA_remove_module.txt
S3-L10,M4,pseudonym ledger / sealed identity,ProVerif,EXPLICIT_FAULT_DETECTED,secrecy breach; agreement failure,0.0115,proverif_M4_blockchain_pseudonym_remove_module.txt,proverif_models/results_ablation/proverif_M4_blockchain_pseudonym_remove_module.txt
S3-L11,M4,pseudonym ledger / sealed identity,Tamarin,EXPLICIT_FAULT_DETECTED,secrecy lemma falsified; agreement lemma falsified,0.1745,tamarin_M4_blockchain_pseudonym_remove_module.txt,proverif_models/results_ablation/tamarin_M4_blockchain_pseudonym_remove_module.txt
S3-L12,M4,pseudonym ledger / sealed identity,Scyther,EXPLICIT_FAULT_DETECTED,Secret claim fail; Niagree fail; Nisynch fail,0.0054,scyther_M4_blockchain_pseudonym_remove_module.txt,proverif_models/results_ablation/scyther_M4_blockchain_pseudonym_remove_module.txt
S3-L13,M5,PUF challenge-response,ProVerif,EXPLICIT_FAULT_DETECTED,secrecy breach; agreement failure,0.0116,proverif_M5_PUF_keyestab_remove_module.txt,proverif_models/results_ablation/proverif_M5_PUF_keyestab_remove_module.txt
S3-L14,M5,PUF challenge-response,Tamarin,EXPLICIT_FAULT_DETECTED,secrecy lemma falsified; agreement lemma falsified,0.1437,tamarin_M5_PUF_keyestab_remove_module.txt,proverif_models/results_ablation/tamarin_M5_PUF_keyestab_remove_module.txt
S3-L15,M5,PUF challenge-response,Scyther,EXPLICIT_FAULT_DETECTED,Secret claim fail; Niagree fail; Nisynch fail,0.0078,scyther_M5_PUF_keyestab_remove_module.txt,proverif_models/results_ablation/scyther_M5_PUF_keyestab_remove_module.txt
S3-L16,M6,ZK credential proof,ProVerif,EXPLICIT_FAULT_DETECTED,secrecy breach; agreement failure,0.0090,proverif_M6_anonymous_ZKP_remove_module.txt,proverif_models/results_ablation/proverif_M6_anonymous_ZKP_remove_module.txt
S3-L17,M6,ZK credential proof,Tamarin,EXPLICIT_FAULT_DETECTED,secrecy lemma falsified; agreement lemma falsified,0.1831,tamarin_M6_anonymous_ZKP_remove_module.txt,proverif_models/results_ablation/tamarin_M6_anonymous_ZKP_remove_module.txt
S3-L18,M6,ZK credential proof,Scyther,EXPLICIT_FAULT_DETECTED,Secret claim fail; Niagree fail; Nisynch fail,0.0321,scyther_M6_anonymous_ZKP_remove_module.txt,proverif_models/results_ablation/scyther_M6_anonymous_ZKP_remove_module.txt
