paper_id,title,route,primary_denominator_contribution
P051,DynaTrac: A Decentralized Cross-Domain Authentication Framework With Dynamic Reputation Weighting and Accountable Tracing,WoS,1
P102,CCAP: A Complete Cross-Domain Authentication Based on Blockchain for Internet of Things,WoS,1
P105,AAMB: a cross-domain identity authentication scheme based on multilayered blockchains in IoMT,WoS,1
P109,A Lightweight Group Authentication Framework for Cross-Domain Internet of Things,WoS,1
P110,A Post-Quantum Cross-Domain Authentication Scheme Based on Multi-Chain Architecture,WoS,1
P111,An Anonymous Authentication Scheme with Low Overhead for Cross-Domain IoT,WoS,1
P112,Authentication Technology in Internet of Things and Privacy Security Issues in Typical Application Scenarios,WoS,1
P113,Blockchain-Based Cross-Domain Authentication With Dynamic Domain Participation in IoT,WoS,1
P116,Bridge of Trust: Cross Domain Authentication for Industrial Internet of Things (IIoT) Blockchain over Transport Layer Security (TLS),WoS,1
P117,Chebyshev Polynomial and Private Blockchain Based Cross-Domain Authentication Protocol for IoD Networks,WoS,1
P118,Efficient Blockchain-Based Mutual Authentication and Session Key Agreement for Cross-Domain IIoT,WoS,1
P120,A Lightweight Authentication Method for Industrial Internet of Things Based on Blockchain and Chebyshev Chaotic Maps,WoS,1
P122,LCC-AKA: Lightweight certificateless cross-domain authentication key agreement protocol for IoT devices,WoS,1
P123,Blockchain and PUF-based secure key establishment protocol for cross- domain digital twins in industrial Internet of Things architecture,WoS,1
P124,Research on an Efficient Cross-Domain Authentication Scheme that is Based on Blockchain and Edge Computing,WoS,1
P125,Split-Chain-Based Efficient Blockchain-Assisted Cross-Domain Authentication for IoT,WoS,1
P128,A Blockchain-Assisted Cross-Domain Authentication and Key Negotiation Scheme in IIoT,WoS,1
P129,A Blockchain-Based Certificateless Anonymous Cross-Domain Authentication Scheme for IoV,WoS,1
P130,A Blockchain-Based Cross-Domain Authentication Management System for IoT Devices,WoS,1
P131,A Blockchain-Based Cross-Domain Data Transmission Scheme for Industrial Internet of Things With Edge-Cloud Computing,WoS,1
P132,A Blockchain-Based Multi-CA Cross-Domain Authentication Scheme in Decentralized Autonomous Network,WoS,1
